Linux 6.8.0-87-generic (shreyash-ASUS-TUF-Gaming-F15-FX506HM-FX506HM) 	11/24/2025 	_x86_64_	(16 CPU)

07:24:12 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
07:24:20 AM   15    3.00    0.00    2.00    0.00    0.00    1.00    0.00    0.00    0.00   94.00

07:24:20 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
07:24:21 AM  all    3.71    0.00    2.33    4.03    0.00    0.57    0.00    0.00    0.00   89.37
07:24:21 AM    0    2.04    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   95.92
07:24:21 AM    1    2.00    0.00    2.00    0.00    0.00    1.00    0.00    0.00    0.00   95.00
07:24:21 AM    2   22.22    0.00   11.11   64.65    0.00    2.02    0.00    0.00    0.00    0.00
07:24:21 AM    3    2.00    0.00    2.00    0.00    0.00    1.00    0.00    0.00    0.00   95.00
07:24:21 AM    4    2.02    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   96.97
07:24:21 AM    5    2.02    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   95.96
07:24:21 AM    6    1.02    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   96.94
07:24:21 AM    7    3.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   95.00
07:24:21 AM    8    4.90    0.00    1.96    0.00    0.00    0.98    0.00    0.00    0.00   92.16
07:24:21 AM    9    2.06    0.00    1.03    0.00    0.00    0.00    0.00    0.00    0.00   96.91
07:24:21 AM   10    2.97    0.00    1.98    0.00    0.00    0.00    0.00    0.00    0.00   95.05
07:24:21 AM   11    3.03    0.00    1.01    0.00    0.00    1.01    0.00    0.00    0.00   94.95
07:24:21 AM   12    2.04    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   96.94
07:24:21 AM   13    3.00    0.00    2.00    0.00    0.00    1.00    0.00    0.00    0.00   94.00
07:24:21 AM   14    2.00    0.00    2.00    0.00    0.00    1.00    0.00    0.00    0.00   95.00
07:24:21 AM   15    3.00    0.00    2.00    0.00    0.00    1.00    0.00    0.00    0.00   94.00

07:24:21 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
07:24:22 AM  all    3.49    0.00    2.29    4.00    0.00    0.57    0.00    0.00    0.00   89.65
07:24:22 AM    0    2.04    0.00    1.02    0.00    0.00    1.02    0.00    0.00    0.00   95.92
07:24:22 AM    1    2.04    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   96.94
07:24:22 AM    2   23.23    0.00   10.10   63.64    0.00    3.03    0.00    0.00    0.00    0.00
07:24:22 AM    3    2.06    0.00    1.03    0.00    0.00    0.00    0.00    0.00    0.00   96.91
07:24:22 AM    4    2.02    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   95.96
07:24:22 AM    5    2.02    0.00    1.01    0.00    0.00    1.01    0.00    0.00    0.00   95.96
07:24:22 AM    6    2.02    0.00    1.01    0.00    0.00    1.01    0.00    0.00    0.00   95.96
07:24:22 AM    7    0.00    0.00    2.06    0.00    0.00    0.00    0.00    0.00    0.00   97.94
07:24:22 AM    8    3.09    0.00    2.06    0.00    0.00    0.00    0.00    0.00    0.00   94.85
07:24:22 AM    9    2.02    0.00    2.02    0.00    0.00    1.01    0.00    0.00    0.00   94.95
07:24:22 AM   10    3.00    0.00    2.00    0.00    0.00    1.00    0.00    0.00    0.00   94.00
07:24:22 AM   11    3.06    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   94.90
07:24:22 AM   12    3.00    0.00    2.00    0.00    0.00    1.00    0.00    0.00    0.00   94.00
07:24:22 AM   13    3.06    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   95.92
07:24:22 AM   14    1.02    0.00    3.06    0.00    0.00    0.00    0.00    0.00    0.00   95.92
07:24:22 AM   15    2.02    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00   94.95

07:24:22 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
07:24:23 AM  all    3.52    0.00    2.52    4.15    0.00    0.44    0.00    0.00    0.00   89.37
07:24:23 AM    0    2.00    0.00    2.00    0.00    0.00    1.00    0.00    0.00    0.00   95.00
07:24:23 AM    1    2.02    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   95.96
07:24:23 AM    2   22.00    0.00   11.00   66.00    0.00    1.00    0.00    0.00    0.00    0.00
07:24:23 AM    3    2.02    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   95.96
07:24:23 AM    4    2.04    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   96.94
07:24:23 AM    5    2.02    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   95.96
07:24:23 AM    6    2.02    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   96.97
07:24:23 AM    7    2.00    0.00    1.00    0.00    0.00    1.00    0.00    0.00    0.00   96.00
07:24:23 AM    8    2.94    0.00    4.90    0.00    0.00    0.98    0.00    0.00    0.00   91.18
07:24:23 AM    9    2.02    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   95.96
07:24:23 AM   10    2.04    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   95.92
07:24:23 AM   11    2.06    0.00    1.03    0.00    0.00    1.03    0.00    0.00    0.00   95.88
